epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1859.77,1.00042,0.50928,0.73414,0.78435,0.44043,0.44514,0.32901,0.80817,0.35413,0.71322,0.000166661,0.000166661,0.0668345
2,3725.5,0.79816,0.35195,0.71644,0.80023,0.45392,0.45835,0.34417,0.79892,0.35014,0.71286,0.000329722,0.000329722,0.0336642
3,5595.02,0.75934,0.32796,0.71423,0.81304,0.44233,0.4471,0.3342,0.85406,0.39664,0.71789,0.000478597,0.000478597,0.000479757
4,7462.02,0.73545,0.31322,0.71297,0.81612,0.43632,0.44139,0.32496,0.92571,0.49234,0.72538,0.000452732,0.000452732,0.000452732
5,9334.87,0.72023,0.30381,0.71206,0.81729,0.44134,0.44757,0.32924,0.94309,0.54066,0.7258,0.00041811,0.00041811,0.00041811
6,11213.3,0.70891,0.29662,0.71165,0.83235,0.46014,0.46526,0.3452,0.91701,0.49445,0.71984,0.00037625,0.00037625,0.00037625
7,13098.7,0.6999,0.29089,0.7112,0.84157,0.48076,0.48519,0.36494,0.87533,0.41611,0.7144,0.000328982,0.000328982,0.000328982
8,14996.6,0.69221,0.28605,0.71089,0.84782,0.50155,0.50488,0.38551,0.82845,0.36835,0.71096,0.000278371,0.000278371,0.000278371
9,16901,inf,0.28123,0.71049,0.85857,0.51979,0.52338,0.40412,0.79002,0.34297,0.70889,0.000226629,0.000226629,0.000226629
