epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3798.2,0.80544,0.43468,0.74268,0.79967,0.46624,0.46724,0.36516,0.66151,0.32022,0.72317,0.000166664,0.000166664,0.0668339
2,7431.45,0.67411,0.31559,0.72705,0.80064,0.43659,0.42594,0.33606,0.68065,0.33795,0.7332,0.000311225,0.000311225,0.0336451
3,11045.6,0.64505,0.29432,0.72504,0.81294,0.42773,0.42126,0.33163,0.72269,0.36462,0.75141,0.000376248,0.000376248,0.000376828
4,14640.8,0.62419,0.28004,0.72391,0.83013,0.44014,0.43173,0.34075,0.72287,0.36512,0.75208,0.0002525,0.0002525,0.0002525
5,18234.6,0.60762,0.26871,0.72314,0.83787,0.47125,0.45484,0.36125,0.68292,0.34062,0.73369,0.00012875,0.00012875,0.00012875
6,21830.1,0.59571,0.26059,0.72291,0.83464,0.50232,0.47893,0.38318,0.65146,0.31915,0.7211,3.81587e-05,3.81587e-05,3.81587e-05
