class_id,class_name,precision,recall,map50,map50_95
0,accidentalDoubleFlat,0.9660593406666114,0.898936170212766,0.8942881886721818,0.8409342313251177
1,accidentalDoubleSharp,0.9981716675949203,0.5290763968072976,0.525,0.45060336592570066
2,accidentalFlat,0.9991788804177459,0.5642832681458517,0.5649957104789781,0.5174274033080224
3,accidentalNatural,0.996501513006366,0.3908392029462423,0.3949904660518366,0.3502323766929242
4,accidentalSharp,0.9992574518009787,0.8417434498663917,0.8449869512318036,0.7945477865762609
5,arpeggio,0.8524109936007295,0.14065982295934074,0.14266474718026595,0.09339888446267738
6,articAccentAbove,0.997422270715526,0.43315546582059417,0.4349933199732799,0.38380210031893125
7,articAccentBelow,0.9935011825117319,0.5144686614948898,0.5149976019184652,0.450903145249003
8,articMarcatoAbove,0.996848054992787,0.3380701388418181,0.3349684044233807,0.2807134668930274
9,articMarcatoBelow,0.9922181993641475,0.3803921568627451,0.38474587699334173,0.3011753556157447
10,articStaccatissimoAbove,0.8258558076248645,0.21829186960879216,0.2179652064005423,0.11512629616801176
11,articStaccatissimoBelow,0.9135099699120971,0.22962083524295024,0.2853371352323309,0.11580471527343375
12,articStaccatoAbove,0.8100836244350866,0.232560656624876,0.23278819447936605,0.11668241484724037
13,articStaccatoBelow,0.8255532030937698,0.20527049487963112,0.20344542273539493,0.09958932577734482
14,articTenutoAbove,0.9631854591495406,0.05589307411907655,0.055,0.038616658816950436
15,articTenutoBelow,0.9372199870269485,0.05831643002028398,0.055,0.03543160007752659
16,augmentationDot,0.8340420087047178,0.31414934201315975,0.3138995145666695,0.1682630003419985
17,beam,0.9880217500965828,0.5425584627096453,0.5448274674974016,0.48719883661462476
18,brace,0.9990926725417378,0.8120786582378875,0.8149459892247672,0.7881437307679686
19,caesura,0.9506050656776621,0.7605042016806722,0.7719360599257516,0.5477477891105681
20,clef15,0.9937622695558772,0.7252568513206454,0.7348352081761438,0.6575776028070017
21,clef8,0.9855211934264418,0.8143649473100388,0.8149671075846306,0.7102641051809621
22,clefCAlto,0.9990223360656081,0.9859633569739953,0.985,0.9829114856666046
23,clefCTenor,0.992576835024992,0.9384404924760602,0.935,0.9333598988736638
24,clefF,0.9990970938639339,0.9957287898237834,0.9946569106835654,0.9925578535600745
25,clefG,0.9991410977380477,0.9987549120239056,0.9945907500820534,0.9945354626218796
26,clefUnpitchedPercussion,1.0,0.2768741484568465,0.5388280665748952,0.43746152803785654
27,coda,1.0,0.3950750771613164,0.395,0.252
28,dynamicCrescendoHairpin,0.9810269511516623,0.7069044865268347,0.71449467217149,0.6692427207094234
29,dynamicDiminuendoHairpin,0.9805859803173269,0.49721964782205746,0.5130969137377237,0.46347189668233996
30,dynamicF,0.9936667117021295,0.752515866615239,0.7548872344135394,0.726285881967683
31,dynamicM,0.9987329234789325,0.5872782274548279,0.5849985972787207,0.5211269481122619
32,dynamicP,0.9942389881004433,0.8083548936707263,0.805,0.738548811369961
33,dynamicR,0.0,0.0,0.0,0.0
34,dynamicS,0.9752280299075411,0.24396135265700483,0.24495049504950495,0.17232415737061693
35,dynamicZ,0.9674845922641884,0.2156570348238782,0.2246875,0.1441990595053095
36,fermataAbove,0.9983517687969179,0.8301714285714286,0.83498899889989,0.7798542580669148
37,fermataBelow,0.9993573809118025,0.6588235294117647,0.655,0.589791520876234
38,fingering0,0.9931708039025766,0.3157894736842105,0.315,0.26058172441326793
39,fingering1,0.9261679453114948,0.19888734353268428,0.20284837476735762,0.12750218013739784
40,fingering2,0.9381469015716254,0.51530852567122,0.5146522676117031,0.4023137534811486
41,fingering3,0.935252339382921,0.3830665978316985,0.38436694310169583,0.3147965047827612
42,fingering4,0.9084798158466717,0.25237793278376663,0.2541467724068053,0.1928862177105528
43,fingering5,0.9235548901940704,0.3254901960784314,0.33166758475788694,0.2557786783276559
44,flag128thDown,0.9830701294777853,0.875,0.875,0.7630699883288562
45,flag128thUp,0.9396744917271241,0.6046511627906976,0.6589087231968811,0.5228383854742807
46,flag16thDown,0.9982026182259398,0.34791252485089463,0.3449434304910073,0.30268204145700545
47,flag16thUp,0.9953450578014674,0.4765874308042983,0.4748286339576462,0.4095293739545716
48,flag32ndDown,0.996493918325565,0.33864915572232646,0.335,0.2917041957865846
49,flag32ndUp,0.9805322672579933,0.5003460207612457,0.5048481655330971,0.4199534730111467
50,flag64thDown,0.9743337041790483,0.8602409638554217,0.865,0.7315071709666722
51,flag64thUp,0.9207653227820661,0.8477611940298507,0.8535243808638966,0.7236801404220484
52,flag8thDown,0.9995297296844138,0.48683228783817395,0.485,0.4241626558035235
53,flag8thUp,0.9968983990851333,0.3924028801793645,0.394982673236394,0.3298353367493662
54,keyFlat,0.9979141806361872,0.9333939007022541,0.9347218504144217,0.8975901236071749
55,keyNatural,0.9897130166531516,0.4,0.395,0.3457750434422667
56,keySharp,0.9993473275055568,0.9718349879383931,0.9747834774463554,0.9518641376371966
