epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4986.13,0.72668,0.39651,0.74469,0.83002,0.53364,0.53926,0.43342,0.64104,0.33311,0.74275,0.000166664,0.000166664,0.0668339
2,9910.19,0.62704,0.2927,0.73255,0.86236,0.51594,0.52307,0.42217,0.64122,0.34672,0.74612,0.000311225,0.000311225,0.0336451
3,14833.7,0.60245,0.27232,0.73082,0.8595,0.49383,0.50344,0.40616,0.64871,0.41312,0.75352,0.000376248,0.000376248,0.000376828
4,19764.1,0.58464,0.25826,0.72977,0.87169,0.49195,0.50217,0.40612,0.64618,0.40906,0.75336,0.0002525,0.0002525,0.0002525
5,24695.6,0.57014,0.24684,0.72917,0.88052,0.52191,0.52992,0.43238,0.62932,0.34693,0.74708,0.00012875,0.00012875,0.00012875
6,29632,0.56021,0.23898,0.72874,0.89933,0.55327,0.56013,0.461,0.61333,0.30863,0.74121,3.81587e-05,3.81587e-05,3.81587e-05
