class_id,class_name,precision,recall,map50,map50_95
0,accidentalDoubleFlat,0.0,0.0,0.0,0.0
1,accidentalDoubleSharp,1.0,0.7790655864618254,0.775,0.6698420451439355
2,accidentalFlat,0.9977127074283993,0.8255222876965821,0.8249610998184167,0.7529287103980747
3,accidentalNatural,0.9976720595417052,0.4645932813353311,0.4649862861721202,0.4155519874672411
4,accidentalSharp,0.9994949256240298,0.9186486156848396,0.9149856095238854,0.8610699923060917
5,arpeggio,0.9063415900387711,0.21291512915129152,0.2137766680978563,0.13893327274852543
6,articAccentAbove,0.9984004676225545,0.7406980098067494,0.744992168134583,0.6571286805280214
7,articAccentBelow,0.9985294721478108,0.7788449698313016,0.775,0.682281642691194
8,articMarcatoAbove,0.9973043639691969,0.7909566677201383,0.7949797570850203,0.6687683510610569
9,articMarcatoBelow,0.9847294406978603,0.6643137254901961,0.6649881516587678,0.5458341536642877
10,articStaccatissimoAbove,0.8748940547496921,0.25891829689298046,0.2613502952741633,0.13842796230769622
11,articStaccatissimoBelow,0.8578286410310877,0.2885845130564082,0.30446695124938805,0.11178072626667501
12,articStaccatoAbove,0.8330042878963391,0.235013980337332,0.23293425775249935,0.11908432237018518
13,articStaccatoBelow,0.8254830389704537,0.22159669722803066,0.22246373284460147,0.11020185865580172
14,articTenutoAbove,0.9746912498211917,0.08809234507897934,0.09442301153750254,0.06157730148305448
15,articTenutoBelow,1.0,0.0182151168618212,0.029225352112676056,0.015782835785397967
16,augmentationDot,0.8531364029389357,0.3188742475150497,0.314029738087217,0.17225980204308874
17,beam,0.9886107914550224,0.42793745435216385,0.42484839663508156,0.38030417960606044
18,brace,0.995998077555509,0.8549534628752712,0.8549287338676906,0.8256619532891177
19,caesura,0.9455011211003502,0.8389355742296919,0.8519822924194742,0.6230523240965898
20,clef15,0.9981627680741927,0.8148710166919575,0.8248724954462661,0.747020932210934
21,clef8,0.9922555084300376,0.8754853022739878,0.874972421447185,0.7745018340963454
22,clefCAlto,0.9962716027114769,0.995419621749409,0.9949744620857521,0.9927868348005454
23,clefCTenor,0.97422673114238,0.9357045143638851,0.9349561403508773,0.933619975226217
24,clefF,0.998995336048887,0.9982845139456179,0.9946566035829882,0.9934623721459988
25,clefG,0.9991021489447085,0.9991922112155095,0.9943832809255787,0.9943030196018245
26,clefUnpitchedPercussion,0.9907706420300897,0.9290322580645162,0.9249310344827586,0.7502238592079143
27,coda,0.9221640000635094,0.6772371434468726,0.6826923076923077,0.3591347585517136
28,dynamicCrescendoHairpin,0.9675432161699046,0.8296456197157762,0.8416199313193201,0.7950431190809413
29,dynamicDiminuendoHairpin,0.9799551174482954,0.7249385807156653,0.7416331260152906,0.6938970429763913
30,dynamicF,0.9933172825490224,0.8836565096952909,0.884875103309188,0.8442752421306245
