epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5431.78,0.68782,0.35086,0.7388,0.92076,0.64035,0.6478,0.53325,0.62607,0.29501,0.73938,0.000166663,0.000166663,0.0668341
2,10709.9,0.61474,0.27573,0.72983,0.91761,0.62138,0.6258,0.52187,0.62207,0.29544,0.74039,0.000311224,0.000311224,0.0336453
3,15955.8,0.59871,0.26402,0.72872,0.91994,0.57576,0.58228,0.48691,0.62886,0.31441,0.75076,0.000376247,0.000376247,0.000376988
4,21187.7,0.5896,0.2569,0.72762,0.91968,0.54573,0.55219,0.46164,0.63526,0.34005,0.76059,0.0002525,0.0002525,0.0002525
5,26417.2,0.58131,0.25061,0.72692,0.91618,0.55667,0.56115,0.47135,0.6294,0.33664,0.75584,0.00012875,0.00012875,0.00012875
6,31649.4,0.57412,0.24566,0.72639,0.9215,0.58533,0.59022,0.49999,0.61378,0.31661,0.74605,3.81587e-05,3.81587e-05,3.81587e-05
