epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1520.85,1.04322,0.52707,0.73369,0.80025,0.45268,0.45541,0.33346,0.86593,0.37193,0.70561,0.000166659,0.000166659,0.0668348
2,2981.02,0.82794,0.36166,0.71512,0.83585,0.48353,0.48867,0.36415,0.83471,0.35034,0.70295,0.00032972,0.00032972,0.0336645
3,4432.83,0.78889,0.33728,0.71253,0.84289,0.48167,0.48573,0.36574,0.83581,0.35059,0.70303,0.000478595,0.000478595,0.000480077
4,5897.32,0.76507,0.32268,0.71124,0.84301,0.47413,0.47844,0.36147,0.85339,0.36768,0.70492,0.000452732,0.000452732,0.000452732
5,7350.33,0.74937,0.31311,0.71039,0.84797,0.4722,0.47739,0.36124,0.87618,0.39301,0.70678,0.00041811,0.00041811,0.00041811
6,8823.68,0.73846,0.3062,0.70971,0.84773,0.47662,0.48251,0.36514,0.88684,0.405,0.7068,0.00037625,0.00037625,0.00037625
