class_id,class_name,precision,recall,map50,map50_95
0,accidentalDoubleFlat,0.9111283408260334,0.24598930481283424,0.24435224586288418,0.16839549112599017
1,accidentalDoubleSharp,0.9590674241559335,0.47737819025522044,0.47457771801411264,0.3126618497247211
2,accidentalFlat,0.975838374620762,0.6707728355398201,0.6747458325903575,0.5500365324678438
3,accidentalNatural,0.9714694592320386,0.4602976768452631,0.4645212395269256,0.3551953529131318
4,accidentalSharp,0.9890242488740032,0.7815452965482316,0.7849561519364523,0.6891790514973035
5,arpeggio,0.8257348193803904,0.22496206373292868,0.22782135900450545,0.11426716054392724
6,articAccentAbove,0.9426178613806996,0.5828011611030479,0.5840321530443209,0.435967115263386
7,articAccentBelow,0.9444205060569426,0.5498689302209462,0.5531232891482073,0.3981313222200284
8,articMarcatoAbove,0.8189316278781754,0.40237966468361275,0.39905740046899135,0.23610954751017577
9,articMarcatoBelow,0.9165288034453428,0.4077593032462391,0.4132806978413828,0.24760280107324104
10,articStaccatissimoAbove,0.7172394435340667,0.0196078431372549,0.027797688696280243,0.006360514211242932
11,articStaccatissimoBelow,0.7473838248329167,0.013193803991088889,0.03424358974358974,0.012201848151848152
12,articStaccatoAbove,0.6047448012571074,0.07564338235294117,0.07196166209499893,0.025260238618236168
13,articStaccatoBelow,0.5326685195233977,0.0643689399494826,0.060361937472566324,0.01992544148132311
14,articTenutoAbove,0.773205447240997,0.02389705882352941,0.023183734939759032,0.010136273309084731
15,articTenutoBelow,0.8479787683202633,0.019901710871443816,0.029413012729844416,0.009598688428703397
16,augmentationDot,0.6255125139934959,0.16436065767953384,0.15668507344837102,0.06347231372019022
17,beam,0.9467891604430497,0.43625381687010717,0.4342395418195839,0.3651430469680209
18,brace,0.948138744539036,0.6447980478381332,0.6447942899777854,0.5406694733228259
19,caesura,0.900353776171104,0.5664250964405109,0.5980500445057784,0.27662844424726957
20,clef15,0.8784755649804276,0.172859450726979,0.18929318694426178,0.08863368663658025
21,clef8,0.8623670045419127,0.586818072578707,0.583051204973116,0.27621240900520505
22,clefCAlto,0.9940036715607241,0.9887341574088562,0.9847573768174082,0.9702398893467962
23,clefCTenor,0.98031010946874,0.8934081346423562,0.8948906718391818,0.8739695036613133
24,clefF,0.9980715283695484,0.9926858112450831,0.9943311387128989,0.9812138543379862
25,clefG,0.9982867522853114,0.9980045102519213,0.9946147602608953,0.9914441129937839
26,clefUnpitchedPercussion,1.0,0.47179856661482966,0.5173663106191374,0.3487258474718618
27,coda,0.8108928349989549,0.4857142857142857,0.48333333333333334,0.20914818376068375
28,dynamicCrescendoHairpin,0.9232042875437453,0.6443791329904482,0.6436373081932042,0.5609357439132615
29,dynamicDiminuendoHairpin,0.9251897595301743,0.6136953955135773,0.636388856793231,0.5292126641819537
30,dynamicF,0.9549294509860106,0.7279606914855462,0.7244851120636531,0.6227329615902871
31,dynamicM,0.9578405998868078,0.6845053934275441,0.6846718327138436,0.5181214088004547
32,dynamicP,0.9544152623235924,0.7646240926417861,0.764535442908953,0.6165266760925194
33,dynamicR,0.0,0.0,0.0,0.0
34,dynamicS,0.35690888412617905,0.03907203907203907,0.02483695652173913,0.008979217178702304
