epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3930.79,0.74618,0.40515,0.74562,0.88833,0.56206,0.5686,0.45744,0.66523,0.33571,0.74042,0.000166663,0.000166663,0.0668341
2,7708.17,0.64408,0.29828,0.73263,0.90139,0.55729,0.56122,0.45612,0.66112,0.33137,0.74088,0.000311224,0.000311224,0.0336453
3,11461.3,0.6206,0.27818,0.73088,0.88847,0.53539,0.54021,0.44034,0.66476,0.33411,0.74772,0.000376247,0.000376247,0.000376988
4,15202.4,0.60348,0.2645,0.72971,0.90287,0.52578,0.5302,0.43385,0.66508,0.33511,0.75285,0.0002525,0.0002525,0.0002525
5,18943.5,0.58954,0.25382,0.72911,0.90737,0.53467,0.53957,0.44374,0.65873,0.33029,0.75121,0.00012875,0.00012875,0.00012875
6,22685,0.57969,0.24608,0.72862,0.93378,0.54995,0.55686,0.46107,0.64987,0.32299,0.74601,3.81587e-05,3.81587e-05,3.81587e-05
