epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2801.92,0.8475,0.46148,0.74397,0.78687,0.518,0.51032,0.40082,0.68486,0.32252,0.71756,0.000166659,0.000166659,0.0668348
2,5600.74,0.70236,0.32599,0.72646,0.85736,0.54717,0.55055,0.43833,0.66549,0.3042,0.71509,0.00032972,0.00032972,0.0336645
3,8396.1,0.67648,0.30698,0.7245,0.85806,0.53433,0.53722,0.43129,0.66283,0.30216,0.71586,0.000478595,0.000478595,0.000480077
4,11194.9,0.66204,0.29653,0.72353,0.86636,0.50998,0.51369,0.41329,0.67127,0.31732,0.71961,0.000452732,0.000452732,0.000452732
5,13986.5,0.64952,0.28849,0.72294,0.87559,0.49634,0.49951,0.40131,0.68759,0.3463,0.72369,0.00041811,0.00041811,0.00041811
6,16781.1,0.64007,0.28275,0.72247,0.88782,0.49164,0.49706,0.39881,0.6922,0.35956,0.7243,0.00037625,0.00037625,0.00037625
